"filename", "language", "C++", "JSON", "XML", "CMake", "Makefile", "Markdown", "CMake Cache", "C", "YAML", "TypeScript", "comment", "blank", "total"
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/bytestream_OLD.hpp", "C++", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 103
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/crc.cpp", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/crc.hpp", "C++", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 59
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/error.cpp", "C++", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/error.hpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/filewrite.cpp", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 48
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/filewrite.hpp", "C++", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/h264.cpp", "C++", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/h264.hpp", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/jparse.cpp", "C++", 466, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 87, 628
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/jparse.hpp", "C++", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 87
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/jpeg.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/jpg.hpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/linked_map.hpp", "C++", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 18, 151
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/main.cpp", "C++", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 12, 38
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/measure.hpp", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/memcpy.hpp", "C++", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/micro_vector.h", "C++", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 12, 83
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/mov.cpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/mov.hpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/mp3.cpp", "C++", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 55, 214
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/mp3.hpp", "C++", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 65
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/mp4.cpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/mp4.hpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/msutil.hpp", "C++", 426, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 82, 541
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/nal.cpp", "C++", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 49
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/nal.hpp", "C++", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 22
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/picture.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/picture.hpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/png.cpp", "C++", 402, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 89, 546
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/png.hpp", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/porcupinetree.vcxproj", "XML", 0, 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 211
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/realigned_buffer.hpp", "C++", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 56
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/sha.cpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/sha.hpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/ttf.cpp", "C++", 290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 88, 485
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/ttf.hpp", "C++", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 15, 138
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/ttfRender.cpp", "C++", 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 70, 371
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/ttfRender.hpp", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/types.hpp", "C++", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 37
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/xml.cpp", "C++", 585, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 134, 788
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/xml.hpp", "C++", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 123
"Total", "-", 7868, 2490, 211, 373, 591, 408, 315, 682, 384, 2, 1824, 2633, 17781
